Feature_name,Feature_importance
LS8_Shift,0.0335
LS3_Shift,0.032
LS4_Shift,0.0296
LS3_Roll,0.0294
LB1A,0.0249
LS7_Shift,0.0237
LS5_Shift,0.0223
LP4C,0.0201
RB0C,0.0186
LP1C,0.016
LS3_Tilt,0.0158
LS6_Shift,0.0157
LS8_Tilt,0.0154
LS3_Entropy,0.0153
LS3_Free energy,0.015
LS7_Tilt,0.015
LB2A,0.0148
LS3_Enthalpy,0.0148
LS4_Tilt,0.0128
LP2C,0.0127
LS5_Roll,0.0124
RB0A,0.0124
LS4_Rise,0.0119
LB0G,0.0114
LP3C,0.0113
LS8_Roll,0.0113
LB0A,0.0111
LS5_Tilt,0.0109
RB1A,0.0109
LB1G,0.0104
LS1_Hydrophilicity,0.0104
LS0_Hydrophilicity,0.0103
LS0_Shift,0.009
LS7_Rise,0.0089
LS3_Hydrophilicity,0.0088
LS6_Rise,0.0086
LS2_Hydrophilicity,0.0085
LP0C,0.0084
LS3_Rise,0.0082
LS4_Roll,0.0082
RB1C,0.0081
LS7_Roll,0.008
LS4_Hydrophilicity,0.0076
LS6_Tilt,0.0075
LS5_Rise,0.0071
LS0_Roll,0.007
LS2_Shift,0.007
LS8_Rise,0.007
LS8_Hydrophilicity,0.0067
RB2C,0.0064
LS3_Slide,0.0062
LS5_Free energy,0.0062
LS0_Free energy,0.0059
LP4A,0.0057
LS0_Rise,0.0057
LS2_Roll,0.0057
LS5_Enthalpy,0.0056
LS6_Roll,0.0056
LS5_Entropy,0.0055
LS0_Enthalpy,0.0053
LS0_Entropy,0.0053
LS0_Tilt,0.0052
LS3_Twist,0.0052
LS7_Hydrophilicity,0.005
LS2_Rise,0.0049
LP0G,0.0048
LS4_Free energy,0.0048
LS8_Free energy,0.0048
LP0A,0.0046
LP1A,0.0046
LS5_Hydrophilicity,0.0046
LS6_Free energy,0.0046
LS7_Slide,0.0046
LS1_Shift,0.0045
LS4_Enthalpy,0.0045
LS1_Rise,0.0044
LS4_Entropy,0.0044
LS4_Slide,0.0044
LS0_Slide,0.0043
LS0_Twist,0.0043
LP2A,0.0042
LS5_Slide,0.0042
LS6_Hydrophilicity,0.0042
LS8_Slide,0.0042
LP3A,0.0041
LS8_Enthalpy,0.0041
LS8_Entropy,0.0041
LP0T,0.0039
LS1_Roll,0.0038
LS2_Enthalpy,0.0038
LS1_Enthalpy,0.0037
LS1_Free energy,0.0037
LS2_Free energy,0.0037
LS7_Enthalpy,0.0037
LS7_Free energy,0.0037
LP2T,0.0036
LP3T,0.0036
LS2_Entropy,0.0036
LS7_Entropy,0.0036
LB0C,0.0035
LP1T,0.0035
LS1_Entropy,0.0035
LS6_Enthalpy,0.0035
LB2G,0.0034
LP4T,0.0034
LS1_Slide,0.0034
LS2_Slide,0.0034
LS6_Entropy,0.0034
LB1C,0.0033
LP1G,0.0033
LS2_Tilt,0.0033
LS6_Slide,0.0033
LS1_Tilt,0.0032
LS4_Twist,0.0032
LS8_Twist,0.0032
RB1T,0.0031
RB1G,0.003
LP2G,0.0029
RB2G,0.0029
LS1_Twist,0.0028
LS2_Twist,0.0028
LS5_Twist,0.0028
RB2A,0.0028
LS7_Twist,0.0027
LB2T,0.0026
RB0G,0.0026
RB0T,0.0026
LB0T,0.0025
LB1T,0.0025
LS6_Twist,0.0025
LP3G,0.0024
LB2C,0.002
RB2T,0.0018
LP4G,0.0012
